x  y  corner
1 15 1
2 14 1
3 13 1
4 12 1
4 11 9
4 10 1
4 9 1
4 8 9
4 7 1
4 6 1
5 7 1
6 7 1
7 8 1
8 9 9
9 8 1
10 8 1
11 7 1
11 6 9
11 5 1
11 4 1
11 3 9
12 3 1
13 3 1
14 3 1
15 3 9
16 3 1
17 3 1
17 4 1
17 5 1
17 6 1
17 7 9
17 8 1
17 9 1
18 10 1
19 10 1
20 10 1
21 10 9
22 10 1
23 10 1
24 9 1
24 8 1
24 7 1
25 7 9
26 6 1
27 6 1
28 6 9
29 6 1
30 7 1
31 8 1
32 9 1
33 10 9
33 11 1
34 12 1
34 13 1
34 14 1
34 15 1
34 16 1
34 17 1
33 18 1
32 19 1
31 20 1
30 21 9
29 22 1
28 22 1
27 22 1
26 22 1
25 21 9
24 21 1
23 20 1
22 19 1
21 18 1
20 17 9
20 16 1
19 15 1
18 14 1
17 15 9
16 16 1
16 17 1
16 18 9
15 19 1
14 20 1
13 21 1
12 22 9
11 23 1
10 24 1
9 23 1
8 22 1
7 21 1
6 20 9
5 19 1
4 18 1
3 17 1
2 16 9
