-----------------------------------------------
    Occurrences    Word
         298120    and

         169128    

         157064    the

          98600    for

          64960    software

          60320    with

          36656    years

          29928    using

          28768    test

          28536    development

          27840    system

          27144    experience

          26912    management

          26216    work

          24128    data

          23896    skills

          23200    engineer

          22040    project

          21112    testing

          19720    this

          18560    java

          18560    was

          18560    from

          17168    business

          17168    months

          16704    that

          16240    design

          16240    application

          16008    new

          15776    service

          15776    applications

          15776    all

          14848    year

          14616    used

          14616    customer

          13920    including

          13920    university

          13920    team

          13688    systems

          13688    support

          13688    sales

          13688    developed

          13456    2015

          13224    web

          12992    tools

          12760    computer

          12296    san

          11832    information

          11832    responsible

          11832    microsoft

          11600    based

          11600    manager

          11368    c

          11136    2010

          11136    office

          10904    analysis

          10672    product

          10672    technical

          10672    process

          10208    10

          10208    education

          10208    implemented

           9976    quality

           9976    2016

           9976    sql

           9744    various

           9512    2014

           9512    present

           9280    reports

           9280    inc

           9280    responsibilities

           9048    science

           9048    developer

           8816    june

           8816    projects

           8584    automation

           8584    employer

           8584    server

           8584    francisco

           8584    engineering

           8584    additional

           8584    any

           8352    other

           8120    build

           8120    company

           8120    issues

           8120    2013

           7888    worked

           7888    created

           7888    code

           7888    performance

           7888    production

           7424    state

           7424    use

           7424    environment

           7424    designed

           7424    payroll

           7424    authorized

           7424    2008

           7424    lead

           7192    september

           7192    2011

           7192    2007

           7192    operations

           7192    are

           7192    programming

           6960    which

           6960    working

           6960    account

           6960    2012

           6728    may

           6728    framework

           6728    january

           6728    network

           6728    also

           6728    documentation

           6728    audio

           6496    dsp

           6496    into

           6496    time

           6496    requirements

           6496    validation

           6496    database

           6264    performed

           6264    security

           6264    windows

           6264    client

           6264    high

           6032    maintenance

           6032    training

           6032    august

           6032    employees

           6032    managed

           6032    february

           5800    have

           5800    marketing

           5800    hardware

           5800    credit

           5800    end

           5800    sharepoint

           5800    implementation

           5800    javascript

           5800    knowledge

           5800    products

           5800    through

           5800    daily

           5800    customers

           5800    over

           5568    well

           5568    less

           5568    center

           5568    than

           5568    create

           5568    2009

           5568    specialist

           5568    position

           5568    accounts

           5568    december

           5568    oracle

           5336    provided

           5336    were

           5336    california

           5336    features

           5336    davis

           5336    communication

           5336    jquery

           5336    march

           5336    first

           5336    both

           5336    control

           5336    site

           5104    python

           5104    technology

           4872    technologies

           4872    mobile

           4872    october

           4872    automated

           4872    embedded

           4872    clients

           4872    change

           4872    different

           4640    services

           4640    part

           4640    equipment

           4640    included

           4640    html

           4640    platform

           4640    tool

           4640    user

           4640    april

           4640    php

           4408    november

           4408    multiple

           4408    senior

           4408    include

           4408    configuration

           4408    website

           4408    wrote

           4408    developing

           4408    direct

           4408    cases

           4408    problem

           4408    analyst

           4408    group

           4408    processing

           4408    collection

           4408    aspnet

           4408    plans

           4408    current

           4176    two

           4176    involved

           4176    staff

           4176    plan

           4176    selenium

           4176    reporting

           4176    devices

           4176    integration

           4176    point

           4176    2006

           4176    several

           3944    order

           3944    intel

           3944    source

           3944    solutions

           3944    internal

           3944    release

           3944    life

           3944    assisted

           3944    july

           3944    assembly

           3944    2005

           3944    experienced

           3944    functional

           3944    operating

           3944    laboratory

           3944    college

           3944    between

           3712    creating

           3712    enterprise

           3712    1999

           3712    mysql

           3712    assistant

           3712    spring

           3712    professional

           3712    while

           3712    intern

           3712    changes

           3712    managing

           3712    processes

           3712    unix

           3712    strong

           3480    bachelor

           3480    medical

           3480    built

           3480    assessment

           3480    berkeley

           3480    research

           3480    manufacturing

           3480    ability

           3480    second

           3480    salesforce

           3480    perform

           3480    microwave

           3480    excel

           3480    city

           3480    maintained

           3480    set

           3248    role

           3248    scripting

           3248    activities

           3248    css

           3248    electrical

           3248    writing

           3248    digital

           3248    device

           3248    executed

           3248    ensure

           3248    teams

           3248    like

           3248    xml

           3248    interface

           3248    greenscreen

           3248    been

           3248    some

           3248    building

           3248    excellent

           3248    unit

           3248    inventory

           3248    can

           3016    procedures

           3016    each

           3016    studio

           3016    provide

           3016    extensive

           3016    visual

           3016    planning

           3016    deployment

           3016    links

           3016    requirement

           3016    such

           3016    not

           3016    adobe

           3016    portal

           3016    proficient

           3016    to

           3016    core

           3016    basic

           3016    has

           3016    their

           3016    2002

           3016    radio

           3016    task

           3016    linux

           3016    during

           3016    results

           3016    target

           3016    more

           3016    responsibility

           3016    tasks

           3016    large

           3016    accomplishments

           3016    access

           2784    develop

           2784    london

           2784    month

           2784    made

           2784    mac

           2784    includes

           2784    jira

           2784    etc

           2784    documents

           2784    peoplesoft

           2784    needs

           2784    json

           2784    sr

           2784    one

           2784    willing

           2784    hazard

           2784    contract

           2784    companys

           2784    suite

           2784    area

           2784    live

           2784    analyze

           2784    arts

           2784    calls

           2784    relocate

           2784    regression

           2784    simulation

           2784    manual

           2784    concord

           2784    helped

           2784    defect

           2784    android

           2784    phone

           2784    scripts

           2784    complex

           2784    duties

           2784    mechanical

           2784    report

           2784    level

           2784    highly

           2784    review

           2552    crm

           2552    led

           2552    document

           2552    creation

           2552    primary

           2552    day

           2552    goals

           2552    participated

           2552    word

           2552    verify

           2552    prepared

           2552    mvc

           2552    users

           2552    risk

           2552    content

           2552    walnut

           2552    them

           2552    variety

           2552    our

           2552    power

           2552    specifications
