-----------------------------------------------
    Occurrences    Word
           1285    and

            729    

            677    the

            425    for

            280    software

            260    with

            158    years

            129    using

            124    test

            123    development

            120    system

            117    experience

            116    management

            113    work

            104    data

            103    skills

            100    engineer

             95    project

             91    testing

             85    this

             80    java

             80    was

             80    from

             74    business

             74    months

             72    that

             70    design

             70    application

             69    new

             68    service

             68    applications

             68    all

             64    year

             63    used

             63    customer

             60    including

             60    university

             60    team

             59    systems

             59    support

             59    sales

             59    developed

             58    2015

             57    web

             56    tools

             55    computer

             53    san

             51    information

             51    responsible

             51    microsoft

             50    based

             50    manager

             49    c

             48    2010

             48    office

             47    analysis

             46    product

             46    technical

             46    process

             44    10

             44    education

             44    implemented

             43    quality

             43    2016

             43    sql

             42    various

             41    2014

             41    present

             40    reports

             40    inc

             40    responsibilities

             39    science

             39    developer

             38    june

             38    projects

             37    automation

             37    employer

             37    server

             37    francisco

             37    engineering

             37    additional

             37    any

             36    other

             35    build

             35    company

             35    issues

             35    2013

             34    worked

             34    created

             34    code

             34    performance

             34    production

             32    state

             32    use

             32    environment

             32    designed

             32    payroll

             32    authorized

             32    2008

             32    lead

             31    september

             31    2011

             31    2007

             31    operations

             31    are

             31    programming

             30    which

             30    working

             30    account

             30    2012

             29    may

             29    framework

             29    january

             29    network

             29    also

             29    documentation

             29    audio

             28    dsp

             28    into

             28    time

             28    requirements

             28    validation

             28    database

             27    performed

             27    security

             27    windows

             27    client

             27    high

             26    maintenance

             26    training

             26    august

             26    employees

             26    managed

             26    february

             25    have

             25    marketing

             25    hardware

             25    credit

             25    end

             25    sharepoint

             25    implementation

             25    javascript

             25    knowledge

             25    products

             25    through

             25    daily

             25    customers

             25    over

             24    well

             24    less

             24    center

             24    than

             24    create

             24    2009

             24    specialist

             24    position

             24    accounts

             24    december

             24    oracle

             23    provided

             23    were

             23    california

             23    features

             23    davis

             23    communication

             23    jquery

             23    march

             23    first

             23    both

             23    control

             23    site

             22    python

             22    technology

             21    technologies

             21    mobile

             21    october

             21    automated

             21    embedded

             21    clients

             21    change

             21    different

             20    services

             20    part

             20    equipment

             20    included

             20    html

             20    platform

             20    tool

             20    user

             20    april

             20    php

             19    november

             19    multiple

             19    senior

             19    include

             19    configuration

             19    website

             19    wrote

             19    developing

             19    direct

             19    cases

             19    problem

             19    analyst

             19    group

             19    processing

             19    collection

             19    aspnet

             19    plans

             19    current

             18    two

             18    involved

             18    staff

             18    plan

             18    selenium

             18    reporting

             18    devices

             18    integration

             18    point

             18    2006

             18    several

             17    order

             17    intel

             17    source

             17    solutions

             17    internal

             17    release

             17    life

             17    assisted

             17    july

             17    assembly

             17    2005

             17    experienced

             17    functional

             17    operating

             17    laboratory

             17    college

             17    between

             16    creating

             16    enterprise

             16    1999

             16    mysql

             16    assistant

             16    spring

             16    professional

             16    while

             16    intern

             16    changes

             16    managing

             16    processes

             16    unix

             16    strong

             15    bachelor

             15    medical

             15    built

             15    assessment

             15    berkeley

             15    research

             15    manufacturing

             15    ability

             15    second

             15    salesforce

             15    perform

             15    microwave

             15    excel

             15    city

             15    maintained

             15    set

             14    role

             14    scripting

             14    activities

             14    css

             14    electrical

             14    writing

             14    digital

             14    device

             14    executed

             14    ensure

             14    teams

             14    like

             14    xml

             14    interface

             14    greenscreen

             14    been

             14    some

             14    building

             14    excellent

             14    unit

             14    inventory

             14    can

             13    procedures

             13    each

             13    studio

             13    provide

             13    extensive

             13    visual

             13    planning

             13    deployment

             13    links

             13    requirement

             13    such

             13    not

             13    adobe

             13    portal

             13    proficient

             13    to

             13    core

             13    basic

             13    has

             13    their

             13    2002

             13    radio

             13    task

             13    linux

             13    during

             13    results

             13    target

             13    more

             13    responsibility

             13    tasks

             13    large

             13    accomplishments

             13    access

             12    develop

             12    london

             12    month

             12    made

             12    mac

             12    includes

             12    jira

             12    etc

             12    documents

             12    peoplesoft

             12    needs

             12    json

             12    sr

             12    one

             12    willing

             12    hazard

             12    contract

             12    companys

             12    suite

             12    area

             12    live

             12    analyze

             12    arts

             12    calls

             12    relocate

             12    regression

             12    simulation

             12    manual

             12    concord

             12    helped

             12    defect

             12    android

             12    phone

             12    scripts

             12    complex

             12    duties

             12    mechanical

             12    report

             12    level

             12    highly

             12    review

             11    crm

             11    led

             11    document

             11    creation

             11    primary

             11    day

             11    goals

             11    participated

             11    word

             11    verify

             11    prepared

             11    mvc

             11    users

             11    risk

             11    content

             11    walnut

             11    them

             11    variety

             11    our

             11    power

             11    specifications

             11    corporation

             11    meetings

             11    video

             11    program

             11    small

             11    existing

             11    executive

             11    creek

             11    solution

             11    track

             11    scenarios

             11    ios

             11    shell

             11    api

             11    related

             11    but

             11    written

             11    efficiency

             11    matlab

             10    good

             10    languages

             10    required

             10    phases

             10    custom

             10    many

             10    installation

             10    html5

             10    music

             10    google

             10    version

             10    appropriate

             10    financial

             10    specific

             10    administration

             10    debugging

             10    engineers

             10    india

             10    assist

             10    efforts

             10    techniques

             10    servers

             10    per

             10    department

             10    had

             10    methods

             10    evaluation

             10    agile

             10    2000

             10    tracking

             10    file

             10    health

             10    master

             10    methodologies

             10    solving

             10    resources

             10    resolution

             10    identify

             10    trained

             10    setup

             10    bug

              9    full

              9    aspects

              9    manage

              9    garnishments

              9    under

              9    load

              9    due

              9    components

              9    assurance

              9    base

              9    bootstrap

              9    community

